,Наименование категории,Суть обращения
447,уборка снега,"Требуется уборка тротуара от дома по ул. Маяковского, д. 2-а к д.2 (м-н ""Оксеновский"")"
448,уборка снега,"Добрый день! Писал жалобу в том году в администрацию Новомосковска, но ничего не изменилось. Каждую зиму во время уборки снега мы сами очищаем выезд из нашего дома, а тракторы, которые убирают дорогу снова блокируют нам выезд тяжелыми кучами снега, которые крайне сложно убирать, так как это прессованный мокрый снег. Иногда приходиться по несколько часов расчищать выезд из за того, что коммунальные службы считают нормальным блокироваться проезд."
449,уборка снега,"После выпадения снега, не было уборки территории, грязь и слякать во дворе, как только начала таять снег."
451,уборка снега,"'Добрый вечер! ❄️😉<br />Радует, что на 19 квартале - улица Калинина - посыпаны тротуары , у Карусели надо бы почистить оный.<br />У автовокзала идёт борьба со #снегнмск <br />#тротуарынмск'"
452,уборка снега,"'Вам вопрос @Tularegion71 @gilincp71 @nmosktularegion twitter.com/skorohodik/sta… https://t.co/nn87136Zt0 Добрый день. Когда появится дворник по ул. Пашанина 6а? Два дня как прошёл снег, а у подъездов ни разу не чистили.Спросим [club138393045|Город Новомосковск] vk.com/wall-162577457… https://t.co/yWMKINdetD'"
462,уборка снега,"Не почищен снег со дня снегопада, дорога превратилась в кашу. Не безопасен проезд на транспорте и движение пешеходов."
463,уборка снега,"'@adm_kireevsk @Anton63456946 @AlexVit89 @apasovavaleriya @SerzhKorablev @mcc99345 @Tularegion71 @AMOBolohovo Добрый день! В Болохово нет песка посыпать тратуары? Это что за беспредел Ук? Ни где не посыпано, примите меры!'"
468,уборка снега,Просьба расчистить от снега проезжую часть по д. Кривцово от д. 25 до д. 30 (названия у улицы нет)
469,уборка снега,Не убран снег на улицах частного сектора поселок Юбилейный Щекинский район
470,уборка снега,неубранный снег на ул подгорная в городе Щекино. Просьба чистить улицу до концу
471,уборка снега,"Не производилась очистка и посыпка песко-соляной смесью порогов и придомовой территории от снега и наледи с начала снегопадов с 30.12.2019г. и по сей день. Перила срезаны и не восстановлены, пожилым людям тяжело и опасно спускаться и подниматься."
472,уборка снега,"дорога от Люторичей до г. Донского не очищена от снега, что приводит к затруднительному движению автотранспорта."
474,уборка снега,Очищенный на обочину снег не убран с пешеходного перехода ведущего в школу.
477,уборка снега,Возле 7 и 8 подъезда на дороге не убран снег. Образовадась коллея и колдобины.
479,уборка снега,"Добрый день. г.Ефремов ул. Новая13. У нас снежный коллапс. Очень нужно, что бы проехал трактор и прочистил дорогу. Машины по улице проехать не могут."
483,уборка снега,"'В прошлом году я жаловалась на тракториста что засыпал мне выход из дома снегом 1.5м весь снег с дороги .Я даже не попала в больницу не смогла пройти ,он замерз.2 дня плакала и чистила .Спасибо мужчина шел с работы чуть помог . Через ""2 дня приехал срезал все цветы .Так в этом году опять все с дороги и теперь срезал цветы с балоном,Я специально вывозила снег и сделала из снега приступ .Каждый год я сажаю .крашу .Чтобы было красиво .Ведь дом крайний .А теперь просто не могу .Руки оборвали .Первый раз он приехал я была на улице .Ни чего не сделал а вчера не вышла .Как после этого что то делать и наводить красоту .А я в этом году цветы покупала .Рассаду делала .Было тяжело ,мне нельзя ни нагинаться ни тяжести таскать,а я старалась .ЭТО ЧТО ПОЛУЧАЕТСЯ НАЗЛО ОТОМСТИЛ ВЕДЬ КОГДА Я СТОЯЛА ОН СНЕГ СЧИСТИЛ НАПРОТИВ ГДЕ РАСТЕТ ПОЛЫНЬ .Тогда не надо спрашивать порядок и красоту .Так обидно .Весной ни чего больше сажать не буду'"
489,уборка снега,Неубран снег на проезжей и пешеходной зонах на протяжении всей улица
492,уборка снега,Снег и гололед на придомовой территории между домом и детской площадкой (на дороге и пешеходной зоне).
496,уборка снега,Гололёд на проезжей части автодороги из пролетарского района в д. Демидовка. Машину на дороге не возможно удержать из за почти 100% обледенения проезжей части.
497,уборка снега,гололед на проезжей части от Наркологического диспансера до контейнерной площадки по ул. Столетова д. 1
498,уборка снега,"Дорога на придомовой территории полностью во льду невозможно не пройти не проехать, сплошной гололед. Подходы к подъездам так же не убираются."
501,уборка снега,"Пешеходная дорожка, обочина и другие горизонтальные поверхности, по которым приходится ходить пешеходам, покрыты коркой льда"
502,уборка снега,Снег на проезжей части от дома 1 до дома 5 по ул. Кирова
507,уборка снега,"Гололед на проезжей части от ул. Кутузова до пер. Дачный, д. 27"
510,уборка снега,"гололед на проезжей части от поворота ул. Епифанской на ул. Коксовую д. 34, д. 32, д. 30, и проезд к домам 30, 30 А, 30 Б, 30 В."
512,уборка снега,"Снег не убирали с 2019 года! Он подтаял, получился лёд! Управляющая компания не реагирует ни на какие обращения к ним! Невозможно пройти к подъезду, под ногами лёд и его ничем не посыпают, не говоря уже о том чтобы чистить!!!"
513,уборка снега,"Просьба обработать придомовую территорию от гололеда, опасна для проезда и прохода пешеходов (движение пешеходов осуществляется по проезжей части)."
518,уборка снега,Гололед на проезжей части и пешеходной зоне. От улицы Заводская д .7а до ул.Луговая дом 2В. Кто то по всей дороге спускает воду.
519,уборка снега,Гололед! Придомовая территория дома 3 по 1-му пр.Металлургов перед домом и за домом на пешеходной дорожке. Фото от 06.01.20 в 12.25
520,уборка снега,Гололед на проезжей части на придомовой территории дома 4 перед подъездами и с торца от последнего подъезда дома 4 по 1-му пр Металлургов. Фото от 06.01.20 в 12.30
521,уборка снега,Голодед! Придомовая территория дома 5 по 1-му пр Металлургов. Фото от 06.01.20 в 12.20
522,уборка снега,Гололед! Придомовая территория дома 5 А по 1-му пр Металлургов. Фото от 06.01.20 в 12.15
523,уборка снега,Не расчищена дорога от снега и льда перед домом на придомовой территории дома 45 Б по ул Металлургов. Фото от 13.01.2020 в 09.00
524,уборка снега,Гололед! Межквартальный проезд с торца дома 13 от последнего подъезда по 2-му пр.Металургов. Фото от 07.01.2020 в 17.00
525,уборка снега,Гололед! Придомовая территория дома 49 А. Фото от 07.01.20 в 17.00
526,уборка снега,Гололед! Придомовая территория дома 53 по ул. Приупская. Фото от 09.01.20 в 4.00
527,уборка снега,Гололед! Придомовая территория дома 55 по ул. Металлургов. Фото от 09.01.20 в 4.00
528,уборка снега,Гололед! Придомовая территория дома 67 по ул. Металлургов. Фото от 06.01.20
530,уборка снега,"гололед на проезжей части от Н. Островского, д. 70 до остановки ""Доктора Гумилевской"""
540,уборка снега,Нерасчищены ступени от снега и наледи на придомовой территории дома 9 по ул Приупская. Фото от 04.01.20.в 12.10
541,уборка снега,Гололед! Придомовая территория дома 9 А по ул Приупская. Фото от 15.01.2020 в 13.00
543,уборка снега,Гололед на ступеньках при спуске к детской площадке. Сама площадка не чистилась.
544,уборка снега,"Лед на пороге у подъезда номер 1, невозможно ходить и можно упасть, в доме живет много подилых людей"
545,уборка снега,"Добрый день! Гололед на тротуаре вдоль частного сектора по ул.Морозова,дом №№№№4,6,8,10,12"
547,уборка снега,"Территория всё так же не убрана, очистили участок у входа видимо для фотографии, дорога за домом всё так же во льду, парковочные места аналогично под коркой льда и снега. Прошу оказать влияние на управляющую компанию и привести всю придомовую территорию в соответствие."
548,уборка снега,"Вся придомовая территория покрыта льдом. От льда очищен только тротуар у дома, вот только как на него попасть управляющая компания видимо не подумала. Дороги у дома и парковочное пространство полностью во льду, людям что бы дойти до тротуара от машины приходится преодолеть ледяное восхождение, машины буксуют и скользят, ходить не безопасно. Прошу понудить управляющую компанию привести в порядок асфальтовое покрытие до усовершенствованного асфальтового слоя."
549,уборка снега,"По дороге к нашему дому не убирается тротуар и пешеходная дорога, очень скользко! Почистили не всю дорожку!!!!Включите,пожалуйста в план работ на ВСЮ зиму!!!"
550,уборка снега,"По дороге к нашему дому не убирается тротуар и пешеходная дорога, очень скользко!"
551,уборка снега,Не очищена пешеходная дорожка от снега и наледи за домом 63 А по ул. Металлургов. Фото от 12.01.2020 в 12.15
554,уборка снега,Гололед на пешеходной зоне.Просим обработать реагентом и очистить до асфальта. Ответственный за территорию ук строймас.
556,уборка снега,Не очищена дорога от снега и льда на придомовой территории дома 8 А по ул Приупская перед домом и с торца от последнего подъезда. Фото от 12.01.2020 в 12.30
557,уборка снега,Гололед на придомовой территории дома 8 А по ул Приупская.Проблема не решена! УК и контролирующие органы гололед на дороге не видят? Фото от от 04.01.20
558,уборка снега,Гололед на придомовой территории дома 8 А по ул Приупская. Фото от от 01.01.20
559,уборка снега,Нерасчищена пешеходная дорожка от снега и наледи за домом 11 А по ул Приупская на муниципальной территории. Фото от 04.01.20 в 12.20
560,уборка снега,Не расчищены пешеходные дорожки от снега и льда на детской площадке за домом 5 по 1-му пр Металлургов. Фото от 15.01.2020 в 13.00
561,уборка снега,Не очищена проезжая часть и пешеходная дорожка от снега и льда на придомовой территории дома 4 по 1-му пр Металлургов перед домом. Фото от 12.01.2020 в 12.20
562,уборка снега,Нерасчищена пешеходная дорожка от снега и наледи с торца от 1-го подъезда дома 11 по ул Приупская на муниципальной территории. Фото от 04.01.20.в 12.00
563,уборка снега,Не расчищены пешеходные дорожки от снега и льда на детской площадке за домом 5 по 1-му пр Металлургов. Фото от 02.01.20
564,уборка снега,"Когда ООО ""ЖилЦентр"" Начнет надлежаще убирать территорию? Может пора лишить его лицензии? 3-ю зиму двор весь в голольде, тропинки не чище, дворников не видно, и в таком состоянии все дома по Ползунова, Седова, Смидович, Прокудина, Оружейная!"
565,уборка снега,Гололед! Межквартальный проезд с торца дома 9 от последнего подъезда по 2-му пр.Металургов. Фото от 07.01.20 в 17.00
566,уборка снега,Гололед! Межквартальный проезд с торца дома 5 от последнего подъезда по 2-му пр.Металургов. Фото от 07.01.20 в 17.00
571,уборка снега,"Отсутствует посыпка пескосоляной смесью,лед на дорожках,лед на ступеньках к контейнерной площадке,ящик для смеси пустой"
605,уборка снега,Гололёд на проезжей части и путях движения пешеходов. Отсутствует песчаная посыпка
611,уборка снега,Гололёд на подходах к подъездам и на проезжей части. Не расчищена своевременно территория от талого снега.
612,уборка снега,"Сплошной гололёд на пешеходных дорожках парковой зоны, на площадке перед входом. Некачественная посыпка песчано-соляной смесью."
613,уборка снега,"Расчистка качественно так и не выполнена. Гололёд, отсутствует песчаная посыпка. Фотоотчёты не достоверные. Прошло уже длительное время."
614,уборка снега,"В фотоотчёте о выполнении представлены фото другой территории, что свидетельствует о фальсификации отчётов. Почему администратор пропускает такие фото? Предоставьте фото указанных в моём обращении территорий после принятия мер, а не иных."
617,уборка снега,Опасный гололёд на проезжей части и пешеходной зоне перед входом в ДК на дворцовой площади. Нет песчано-соляной посыпки.
619,уборка снега,Гололёд и замороженные ледяные наплывы на проезжей части и пешеходной по пути в спортивную школу. Отсутствует песчаная посыпка
620,уборка снега,"Очень скользкий тротуар от автостанции до многоквартирных домой по улице Восточная (д.2, д.4, д.6) и Ленина (д.5, д.3, д.3А). На фотографиях видно скользкую грязь (НЕ ПЕСОК) от проезжающих автомобилей."
622,уборка снега,"Добрый день, сильный гололед у подъезда № 1. Просьба посыпать. Спасибо."
625,уборка снега,"Добрый день! Гололёд на улицах пос. Приупский, не посыпан песок ни на проезжей части, ни на тротуарах. Позвонила по этому поводу на номер 84875461124, перезвонили и сказали, что глава администрации сказала, что все дороги и тротуары посыпаны песком, зачем сообщать ложные сведения, если это не сделано, прилагаю фотографию дороги. Песком посыпали дорогу только один раз в начале декабря 2019. В администрации не могут решить проблему с гололедом. Просьба решить данную проблему."
626,уборка снега,"Не убраный снег с проезжей части, не обработана проезжая часть антигололедной смесью."
631,уборка снега,"Нерасчищена проезжая часть и территория у подъездов, гололёд под снегом не обработан по всему дому"
632,уборка снега,На улице Шахтерская гололедица. Вступить на дорогу не представляется возможным. Прошу принять меры.
636,уборка снега,С прошлого года снег не убрался и теперь на порожках лёд не посыпанный песком.
638,уборка снега,Гололед на пешеходной зоне от здания Железнодорожной сан.эпидем.станции в направлении 3-й платформы
639,уборка снега,На ступенях около 7 подъезда гололед. Невозможно нормально зайти и выйти из подъезда.
640,уборка снега,"Здравствуйте! За всю зиму ни разу не посыпали тротуар, ходить невозможно -лед."
641,уборка снега,"Гололед на пешеходных дорожках во дворе по адресу: ул. Простомолотова, между д. 8 и д. 12"
642,уборка снега,"Гололед на пешеходных дорожках во дворе по адресу: ул. Простомолотова, между д. 4 и д. 8"
643,уборка снега,"Гололед во дворе домов по адресу: ул. Простомолотова, д. 4, 8, 12"
649,уборка снега,"Здравствуйте. По состоянию на 8 января придомовая территория не обработана от наледи. Ходить невозможно, сплошной лед, особенно перед подъездом. Прошу принять меры."
653,уборка снега,"Здравствуйте! Хочу пригласить главу администрации МО Ясногорский район и его заместителей, директора МУ УАХО совершить прогулку пешую по городу.Идти не возможно, тротуары и проезжая часть не обработаны противогололедной смесью. Прошу напомнить соответствующим службам , что наступила зима и пора уже делом заняться. С кем заключен контракт на зимнее содержание и почему до сих к исполнению своих обязанностей подрядчик не приступил? На фото указаны ул. Маяковского и ул.Заводская города Ясногорска."
656,уборка снега,"тротуары по ул. Комсомольская и ул. Советская, межквартальный проезд между детской площадкой и д. 38 по ул. Советская."
658,уборка снега,"Весь центр города Кимовск превратился в каток. Около универммага, магазина магнит тротуары не очищены от наледи и не посыпанны ничем"
659,уборка снега,"К сообщениям 5753013,5753675. Наледь на тротуарной плитке на указанных улицах не чистилась.в обращении 5753013говорилось о территории напротив универмага между улицами Крылова и Ленина, приложена фото ул. Крылова, дата на фотографии не указана. Про участок напротив магазина ""Магнит""ничего не сказано."
660,уборка снега,"Вы достали не обслуживать придомовую территорию - пролёт между домами ЗМР18 и ЗМР19! Мы за это деньги в УК платим! Горку до середины посыпали и хватит, дальше лёд! Пролёт между домами не посыпан - лёд! Сыпите от подъезда до подъезда, песок чтоли экономите?! И только по заявкам на ОР71 работаете, а так не заставишь ничего делать!"
663,уборка снега,"Советую получше ознакомиться с п.24 минимального перечня услуг и работ, необходимых для обеспечения надлежащего содержания общего имущества в многоквартирном доме, и порядка их оказания и выполнения, утвержденных постановлением Правительства РФ от 03 апреля 2013 г. N 290, работы по содержанию земельного участка, на котором расположен многоквартирный дом, с элементами озеленения и благоустройства, иными объектами, предназначенными для обслуживания и эксплуатации этого дома."
664,уборка снега,"Гололёд по адресу Победы,28. Совсем обнаглели, тяп-ляп всё делаете: вход в аптеку так и не обработали; тротуар за домом и с торца Аптеки не обработали, задний пролёт дома не обработали! Вам за содержание территории и жильцы дома, и Аптека платят!"
665,уборка снега,"улица Малые Городенцы превратилась в каток, невозможно ходить и ездить. На протяжении всего зимнего периода, при сложившихся погодных условиях на улице постоянно гололед, а посыпали песко-соляной смесью за все время один раз. Службы про нашу улицу забывают! Прошу оказать содействие в решении данного вопроса."
668,уборка снега,"7 подъезд, квартира 98,на крыше снег, в квартире течёт с потолка, вот такой пузырь воды набирается каждый день. УК не реагируют."
670,уборка снега,"Снегоудерживающая конструкция , повреждена , свисает с крыши ,еще с 2019 года ."
671,уборка снега,"Снегоудерживающая конструкция , оторвалась с креплений !!!!в любое время может упасть вниз и нанести ущерб ."
673,уборка снега,"Второй год одна и та же проблема. В том году наледь с крыши вместе со снегоужерживающими конструкциями рухнули нам на детские санки и авто , в этом году тоже самое, ничего не изменилось, в том году что то сняли с крыши, но в замен ничего не сделали, остатки с того года свисают с крыши.... Обещали летом сделать без снега,но никто ничего не сделал!!! Я прошу решить эту проблему в конце концов!!! Нужно менять снегоужерживающие конструкции!!!!"
674,уборка снега,Труп животного был обнаружен вечером на крыше под пятым этажом под окнами. Примите пожалуйста меры.
675,уборка снега,"Не очищается кровля от снега и наледи. Падают большие глыбы на тротуар, автомобили и входные группы нежилых помещений. Большая опасность несчастного случая."
676,уборка снега,Над козырьком подъезда висят сосульки. А также вдоль всей крыши со стороны двора.
678,уборка снега,"Адрес г. Тула пр. Ленина д. 135 кв. 46, (адреса нет в списке) 3 года подряд зимой протекает кровля, управляющая компания каждый раз составляет акты о залитии, но работ никаких не выполняет, стены постоянно мокрые, на техническом этаже у же некуда ставить емкости для сбора протекшей воды."
679,уборка снега,"3 года подряд зимой протекает кровля, управляющая компания каждый раз составляет акты о залитии, но работ никаких не выполняет, стены постоянно мокрые, на техническом этаже у же некуда ставить емкости для сбора протекшей воды."
680,уборка снега,"'Тула, улица Станиславского, дом 16. Висят сосульки, сбивать никто не торопится. Проход там очень узкий, надо прямо таки прижиматься к ограждению, чтобы под ними не ходить. УК бездействует.'"
681,уборка снега,"'Снег на крыше подтаял. Опасный участок (Советская 11 ,бывшее здание ГИБДД) упасть может в любой момент. Никаких ограждений там нет!!!<br />От подписчиков.<br />#тула #тулаlife'"
682,уборка снега,Заявитель не согласен с расчисткой наледи железными лопатами на крыше жилого дома.
683,уборка снега,"'А как быть с тротуаром, ширина которого меньше метра и отгороженного бордюром, а сосульки висят огромные. Страшно и опасно ходить. Альтернатива только проезжая часть. Улица Руднева, угол Станиславского.'"
685,уборка снега,"Сосульки как образовались так и висят уже несколько дней, лишь увеличиваясь"
686,уборка снега,"'Скажите, а это нормально, чтобы войти на почту с коляской висят сосульки огромные. Мне страшно было, я аш бежала под ними. Куда смотрит администрация или служба почты? Или у нас пока что-то не произойдет, не будут реагировать?'"
687,уборка снега,"'Здравствуйте. Как вы считаете это нормально,что такие сосульки висят? Ждём когда кому нибудь на голову упадёт'"
689,уборка снега,"'Карла Маркса 2 гололёд, не посыпано, сосульки кого нибудь прибьют, карнизов над подъездами нету, снег чистят жильцы, осенью двор тоже сами подметают, а дворник числится которого никто не видел.<br>#Узловая'"
692,уборка снега,"Второй год одна и та же проблема, снегоужерживающие конструкции свисающие вместе с наледь и снегом с крыши!!! Можно уже окончательно решить эту проблему? И починить эти снегоужерживающие конструкции??? Должны были ещё летом заняться этим в итоге ничего, дождались зимы и ждём кому на этот раз(не дай Бог) прилетят эти железки!!!!"
693,уборка снега,Просьба обработать противогололедными реагентами дорогу рядом с д. 77 в д. Пушкари.
695,комплексное благоустройство,'Уважаемый административно-технический надзор провести провести проверку придомовой территории на улице пороховой вот такую красоту можно увидеть.'
696,комплексное благоустройство,"'Также во дворе 61 дома, просили ук рэмс три года назад, неоднократно, очистить двор от аварийных деревьев! До сих пор ждем!!!'"
697,комплексное благоустройство,"'Помогите решить проблему! Наш дом расположен по улице Кирова. Стоит в ряд с другими многоквартирными домами и находится в середине. На улицу Ложевая, жители домов уже перкрали нам все выезды .Теперь крайний дом перекрывает нам выезд на улицу Кирова. Остается единственный выезд на улицу Калинина. Просим помочь в решении проблемы. С уважением жители дома 26, к.1 по улице Кирова'"
699,комплексное благоустройство,"'По адресу Кутузова/Гайдара при въезде во двор вот так накорено дерево. В полне очевидно что в один прекрасный день оно рухнет на жилой дом. <br />Если возможно, прошу Вас принять меры.<br />Спасибо.'"
700,комплексное благоустройство,"'Паразиты-это те, кто портит входные двери многоквартирного дома своей рекламой! Приупская д. 8'"
701,комплексное благоустройство,"'Ну ну, построют они за год. На кутузова теннисный комплекс так же обещали за год.. Так и не достроили.'"
702,комплексное благоустройство,"'На выходе из Центрального парка со стороны улицы Вересаева какая-то тварь оставила мешок с расчлененной собакой, рядом с мешком валяется отрубленная лапа.'"
703,комплексное благоустройство,"'Коллеги, здравствуйте. Материал о купаниях в Центральном парке нужно срочно отредактировать!!!<br>Купание в ЦПКиО им. П.П. Белоусова на Крещение пока не согласовано. Лёд очень тонкий. Совещание, на котором будет принято решение об организации купаний состоится только 15 января.<br>Чтобы не вводить людей в заблуждение лучше написать, что данный момент, решение по организации массовых купаний на Крещение в Центральном парке Тулы не принято, в связи с неблагоприятными погодными условиями.<br>Мониторинг ведется ежедневно.'"
705,комплексное благоустройство,'Здравствуйте<br>К кому можно обратиться по поводу кронирования и спила аварийных деревьев?'
706,комплексное благоустройство,"'Здравствуйте. Убедительная просьба к администрации города, пожалуйста добавьте запрещающие знаки ""Курить запрещено"" при ВХОДЕ в подземный переход на ул. Советской и ул. Мосина. В самом переходе они не заметны и люди по привычке продолжают курить,нарушая закон об ""запрете курения в общественном месте"".Заранее благодарны за внимание к нам не курящим. P. S. С утра, когда люди идут на работу, на выходе со стороны Машзавода ведётся не санкционированная торговля сигаретами. Не самый лучший товар для здоровья человека. Грех это,если не желаешь здоровья ближнему. Заранее спасибо за внимание к нам.'"
707,комплексное благоустройство,'Здравствуйте. Можно ли разобраться с часами работы почтового отделения 62. Работает в любое время только не вечером. За неделю не могу попасть ни разу не работало в вечерние часы. Кто установил такой график работы. Не говоря о том что там постоянные очереди. С большим нетерпением жду ответа'
709,комплексное благоустройство,"'Здравствуйте,мы жители по адресу ул.майская д.2<br>У нас двухподъездный дом.<br>Машина нас просто одолели,на улице зима,пройти не где,машинами заставлен весь тротуар,как быть пожилым людям и мамочкам с колясками?!<br>Приходится идти по проезжей части когда тебе в лицо и спину едут машины и плюсом еще сигналят как быть в такой ситуации.<br>Очень надеемся на вашу помощь,может хоть огородить тратуар чтоб машины туда не ставили'"
710,комплексное благоустройство,"'Здравствуйте, у меня есть две перегоревшие ртутные лампы. Куда их деть в Туле?'"
712,комплексное благоустройство,"'Здравствуйте, в ноябре-декабре должны были пройти слушания по этому участку улицы Халтурина. Что решили? Напомню. Местные водители изуродовали около ста метров газона. Теперь это болото. После ремонта улицы здесь была неплохая зелёная зона. Она не являлась придомовой. ГИБДД не хочет заниматься этим нарушением.'"
713,комплексное благоустройство,'Здравствуйте!!! Меня зовут Тараканов Олег Станиславович. Мои родители тоже в браке более 50 лет!! Могу ли я Вас просить отметить их годовщину (24 апреля ) Почётной грамотой Губернатора Тульской области? Мой номер 89101606581'
714,комплексное благоустройство,"'Здравствуйте! Подскажите , пожалуйста, в рамках какой акции была памятка - алгоритм: «что делать, Кливз заметили противоправную надпись или граффити?»'"
715,комплексное благоустройство,"'Жаль, что оперативно красивеет в Туле только исторический центр. На Криволучье, например, до сих пор без слез не взглянешь: ни ливневок, ни бордюров, ни газонов.'"
716,комплексное благоустройство,"'Ежедневно дети ходят в детский сад и в школу под деревьями, которые никогда не кронировались! Сухие ветки нависают над проводами и постоянно надламыватся, что представляет угрозу для здоровья! УК""РЭМС"" и местная администрация на обращения от ТОСа не реагируют! Примите меры! Металлургов 63.'"
717,комплексное благоустройство,"'Добрый день, я живу на ул. Кауля д.49/1. Этой осенью на Красном Перекопе, по ул. Кауля установили остановку 55 маршрутного такси. Огромная благодарность! Но у меня вопрос: как к ней подойти , тротуара нет, поставлены железобетонные плиты, снег не убирается. Чтобы мне дойти до дома надо идти прямо по проезжей части.'"
718,комплексное благоустройство,"'Добрый день!Может кто знает,куда можно пожаловаться на хозяев,которые выгуливают собак без намордника и поводка.Участковый бессилен!!!!'"
719,комплексное благоустройство,"'Добрый день! Очень прошу меня проконсультировать по одному важному вопросу: как мне, старшей по дому, бороться с парковкой возле подъезда...у нас есть шикарная парковка через 15 метров от дома, наша, домовая. Но...ставят туда единицы! Все стараются поставить вдоль фасада, напротив подъездов...была б наверное возможность и в подъезде бы парковали! Вдоль этого фасада дорога узкая...с другой стороны- забор стройки...если на этой дороге около подъезда паркуется авто то расстояние оставшееся дороги не позволит проехать ни скорой, ни пожарной...кроме того у нас новый дом и активный ремонт... Приезжают газели и им приходится разгружаться и таскать все издалека, потому что к дому из сейчас этих прикаркованных машин вообще не подтехать...как с этим бороться? Может есть какие законы? Нормативные акты? Правила? Буду очень благодарна ссылкам на них, чтобы сделать упор на возможные штрафы и т.д. за такую парковку.'"
