,Group,Sence,Text
73,безопасность,хорошо,"Из отчёта о работе системы безопасности за октябрь:  14 октября 12:03 ул. Краснолесья, 129  👀 В службу безопасности обратился мужчина - не может дозвониться до жены, просил проверить, всё ли в порядке. По указанному адресу отправилась ГБР. Дверь открыла женщина и сообщила, что всё хорошо. Информацию передали заявителю.  https://akademekb.ru/news/3313"
74,благоустройство,хорошо,"По адресу: Панельная 17А, около электрощитовой стоит цистерна с питьевой водой. Для нужд населения, в связи с плановым отключением холодной воды в близлежащих домах."
75,безопасность,плохо,"Ахаха. Эти придурки что 7 декабря въехали задним ходом в ментов на Рассветной 7, эту машину еще и угнали 🤣🤣 https://vk.com/ekbzbi?w=wall-178029486_12726  Росгвардейцы поймали людей, подозреваемых в двух автоугонах. Первое задержание произошло в субботу, 7 декабря, в Екатеринбурге. На улице Сиреневый бульвар у мужчины пропала иномарка Chery.    - Владелец пояснил, что в этот день выпивал вместе с малознакомым ему товарищем и его подругой. Ненадолго отлучившись, он обнаружил, что его гости и ключи от принадлежащего ему автомобиля отсутствуют, - рассказали в пресс-службе Росвардии.    Машину быстро нашли - она стояла на улице Сыромолотова. Оказалось, что после преследования похититель заехал в один из дворов, который оказался тупиковым. Тогда он решил выехать задним ходом и врезался в патрульную машину. Угонщика задержали и передали сотрудникам полиции."
76,жкх,ужасно,Будьте осторожны ! Полуоткрыт люк рядом с Домом №7 на ул.Сыромолотова и д/с №145
79,безопасность,плохо,"Кража века: в Пионерском поселке из детского сада стащили новогоднюю елку, которую украсили малыши  Воришки пробрались на территорию под покровом ночи  Циничная кража произошла в Екатеринбурге. С территории детского сада № 588, что в Пионерском поселке на улице Боровой, украли новогоднюю елку. Как объяснила заместитель заведующей, кража произошла ночью и охранник садика не заметил злоумышленников.   Двухметровую новогоднюю елку всем садиком украшали в минувшую пятницу. На ветках закрепили гирлянды и мягкие игрушки. В предыдущие годы ель хранили в здании детского сада, но в этом году заведение приобрело новую елку, а старую решили поставить на улице. К сожалению, долго она там не простояла.    — Мы уже поставили в известность о краже местного участкового, — рассказали в садике. — Надеемся, что будут приняты меры."
82,благоустройство,плохо,"Перекрёсток ул. Маневровая-Соликамская, намёрзло льда, вода бежит из под забора базы ОМОН. Бежала давно, ну вот морозы все исправили, хороший получился каток! Осторожней люди, очень скользко!!! Фото не очень, темно было!"
83,благоустройство,плохо,"Ужасный тротуар вдоль дороги которая идет от Сортировки на Уралмаш по ул. Донбасской. Для кого сделан этот тротуар, точно не для людей которые идут с коляской, а больше и обойти не где. Очень шумно, тротуар узкий, и самое главное если слякоть, то проезжающие машины обязательно тебя окатят грязью. Хоть бы защиту какую нибудь поставили. Как обычно все для людей сделано."
84,безопасность,ужасно,"Предупрежден-вооружён! Сегодня проводила беседу, с сыном подростком (13лет), по поводу СНЮСа, что предлагают, убеждают, что всё легально....но(!!!) ни в коем случае чтоб не соглашался, не пробовал! И была в шоке, когда узнала, что ему уже предлагали и не раз, когда он с друзьями гуляли у ТЦ Карнавал. Просто группа молодых людей ходят и вот так просто предлагают подросткам СНЮС!!! Мне сын ответил, что не пробовал (надеюсь, что это действительно так), с сыном доверительные отношения, но десна всё равно проверила, чисто.  Говорите с детьми, объясняйте что к чему, чтоб ни чего ни у кого не брали, не пробовали!!!  Анонимно пожалуйста!"
85,безопасность,плохо,"Воришки снявшие с автомобиля Lada Vesta все четыре колеса на Громова, 134/2, оставили записку хозяину машины с извинениями. На грязной двери авто воры написали: «Прости»."
86,транспорт,хорошо,"На Амундсена после ДТП проезжая часть покрылась плиткой. Очевидец снял на видео ДТП с участим грузовика, который перевозил плитку."
87,безопасность,плохо,Двор на Громова 134/2  Сняли колеса и написали «Прости». Вот такие совестливые автоворы. Фото прислали анонимно.
